PT,Author,Title,Publication,Year,Abstract,Citation Count,Sn,Id
J,"Suitor, JJ; Pillemer, K; Sechrist, J",Within-family differences in mothers' support to adult children,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,2006,"Objectives. In this article we explore the ways in which mothers provide support differentially to their adult children and the factors that explain such differentiation.Methods. We collected data for the present analysis during face-to-face interviews with a representative sample of 556 mothers ranging in age from 65 to 78 residing in the greater Boston area.Results. We found substantial within-family variation in mother-to-child support. Multivariate analyses revealed a set of factors that explained within-family differences: Mothers were more likely to provide support to children who were daughters, unmarried, lived nearby, had health problems, and had provided the mothers with support.Discussion. These findings indicate that within-family differences in support to children continue across the life course. Such variations within the family underscore the importance of using designs that provide information on relationships between parents and each of their children, rather than focusing on single parent-child dyads.",58,1079-5014,WOS:000234495400011
J,"Luo, Xiaowei; Deng, Lina",Do Birds of a Feather Flock Higher? The Effects of Partner Similarity on Innovation in Strategic Alliances in Knowledge-Intensive Industries,JOURNAL OF MANAGEMENT STUDIES,2009,"In spite of the consensus on the benefits of strategic alliances for learning and innovation, our understanding of the effects of partner similarity remains conflicted. This paper develops an integrative theoretical framework in which we propose that similar partners in a focal firm's alliance portfolio contribute to the firm's innovation up to a threshold, beyond which additional similar partners can lead to a decrease in innovation because of the trade-offs embedded in collaboration between similar partners. In this integrative framework, we also draw on organizational ecology and institutional perspectives to propose that the effect of partner similarity on innovation is positively moderated by organizational aging and the industry norm of collaboration at the firm's founding. Results from an analysis of 176 biotechnology firms between 1988 and 1999 support our arguments. This study contributes to research on strategic alliance and innovation by considering both the benefits and costs of partner similarity in the context of alliance portfolios and by exploring the multilevel contingencies for the effects of partner similarity.",57,0022-2380,WOS:000268271200005
J,"Popp, Danielle; Laursen, Brett; Kerr, Margaret; Stattin, Hakan; Burk, William J.",Modeling homophily over time with an actor-partner interdependence model,DEVELOPMENTAL PSYCHOLOGY,2008,"Selection and socialization have been implicated in friendship homophily, but the relative contributions of each are difficult to measure simultaneously because of the nonindependent nature of the data. To address this problem, the authors applied a multiple-groups longitudinal actor-partner interdependence model (D. A. Kashy & D. A. Kenny, 2000) for distinguishable dyads to 3 consecutive years of intoxication frequency data from a large community-based sample of Swedish youth. Participants, ranging from 12 to 18 years old (M = 14.35, SD = 1.56) at the start of the study, included 902 adolescents (426 girls and 476 boys) with at least one reciprocated friend during at least one time point and 212 adolescents (84 girls and 128 boys) without reciprocated friends at any time. Similarity estimates indicated strong effects for selection and socialization in friends' intoxication frequency. Over time, younger members of these dyads had less stable patterns of intoxication than older members, largely because younger partners changed their drinking behavior to resemble that of older partners.",56,0012-1649,WOS:000257736300011
J,"Gaughan, M",The gender structure of adolescent peer influence on drinking,JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,2006,"The interactions of adolescent peers are the subject of both parental angst and scholarly attention. Peer influence is the most consistent predictor of adolescent drinking patterns when controlling for other background characteristics. This study extends these findings to incorporate a theoretical argument derived from status characteristics theory. Using 2,980 best-friend dyads constructed from the National Longitudinal Study of Adolescent Health ('Add Health'), I show that the peer influence process differs by the gender structure of the friendship. Adolescents in same-sex best friendships influence one another mutually, consistent with prior theoretical and empirical approaches to adolescent problem behavior By contrast, boys in mixed-sex best friendships have influence over their female friends' drinking patterns, while the girls do not have any effect on their male friends' drinking behavior a finding consistent with status characteristics theory. The results indicate that peer influence models that do not take gender into account in the structure of the friendship misrepresent the unequal influence dynamics between boys and girls.",56,0022-1465,WOS:000236304500004
J,"LAUMANN, EO; MARSDEN, PV; GALASKIEWICZ, J",COMMUNITY-ELITE INFLUENCE STRUCTURES - EXTENSION OF A NETWORK APPROACH,AMERICAN JOURNAL OF SOCIOLOGY,1977,,56,0002-9602,WOS:A1977EB42000003
J,"Smith, Jeffrey A.; McPherson, Miller; Smith-Lovin, Lynn","Social Distance in the United States: Sex, Race, Religion, Age, and Education Homophily among Confidants, 1985 to 2004",AMERICAN SOCIOLOGICAL REVIEW,2014,"Homophily, the tendency for similar actors to be connected at a higher rate than dissimilar actors, is a pervasive social fact. In this article, we examine changes over a 20-year period in two types of homophily-the actual level of contact between people in different social categories and the level of contact relative to chance. We use data from the 1985 and 2004 General Social Surveys to ask whether the strengths of five social distinctions-sex, race/ethnicity, religious affiliation, age, and education-changed over the past two decades in core discussion networks. Changes in the actual level of homophily are driven by the demographic composition of the United States. As the nation has become more diverse, cross-category contacts in race/ethnicity and religion have increased. After describing the raw homophily rates, we develop a case-control model to assess homophily relative to chance mixing. We find decreasing rates of homophily for gender but stability for race and age, although the young are increasingly isolated from older cohorts outside of the family. We also find some weak evidence for increasing educational and religious homophily. These relational trends may be explained by changes in demographic heterogeneity, institutional segregation, economic inequality, and symbolic boundaries.",55,0003-1224,WOS:000340424400004
J,"LEVINE, DN; CARTER, EB; GORMAN, EM",SIMMELS INFLUENCE ON AMERICAN SOCIOLOGY .1.,AMERICAN JOURNAL OF SOCIOLOGY,1976,,55,0002-9602,WOS:A1976BE28100004
S,"Popielarz, Pamela A.; Neal, Zachary P.",The niche as a theoretical tool,ANNUAL REVIEW OF SOCIOLOGY,2007,"For several decades, the concept of the niche has enriched sociological theory. The niche represents the position or function of an entity, such as an organization or population of organizations, within a larger community environment. Using the concept of the niche allows researchers to go beyond classifying entities to understanding (a) their life chances under different and changing environmental conditions and (b) how they interact under the competitive conditions induced by a finite environment. We briefly review the intellectual history of the niche concept as it came from bioecology to sociology. The bulk of the article reviews the two major streams of sociological research that use the niche concept: the population ecology of organizations and McPherson's ecology of affiliation. Finally, we survey commonalities between these approaches and highlight new directions, including applications that take the niche concept well beyond its origins in organizational studies.",54,0360-0572,WOS:000249022500004
J,"Srivastava, Sameer B.; Banaji, Mahzarin R.","Culture, Cognition, and Collaborative Networks in Organizations",AMERICAN SOCIOLOGICAL REVIEW,2011,"This article examines the interplay of culture, cognition, and social networks in organizations with norms that emphasize cross-boundary collaboration. In such settings, social desirability concerns can induce a disparity between how people view themselves in conscious (i.e., deliberative) versus less conscious (i.e., automatic) cognition. These differences have implications for the resulting pattern of intra-organizational collaborative ties. Based on a laboratory study and field data from a biotechnology firm, we find that (1) people consciously report more positive views of themselves as collaborative actors than they appear to hold in less conscious cognition; (2) less conscious collaborative-independent self-views are associated with the choice to enlist organizationally distant colleagues in collaboration; and (3) these self-views are also associated with a person's likelihood of being successfully enlisted by organizationally distant colleagues (i.e., of supporting these colleagues in collaboration). By contrast, consciously reported collaborative-independent self-views are not associated with these choices. This study contributes to our understanding of how culture is internalized in individual cognition and how self-related cognition is linked to social structure through collaboration. It also demonstrates the limits of self-reports in settings with strong normative pressures and represents a novel integration of methods from cognitive psychology and network analysis.",53,0003-1224,WOS:000289628200002
J,"LEVINGER, G; SENN, DJ; JORGENSEN, BW",PROGRESS TOWARD PERMANENCE IN COURTSHIP - TEST OF KERCKHOFF-DAVIS HYPOTHESES,SOCIOMETRY,1970,,53,0038-0431,WOS:A1970I025800005
J,"Wagner, Stephan M.",Supplier traits for better customer firm innovation performance,INDUSTRIAL MARKETING MANAGEMENT,2010,"Previous research on embedded ties with suppliers in an innovation context has Ignored the need for customer firms to assess and select suppliers on the basis of market orientation strategies and relationship marketing attributes. To address this void, this study investigates the effects of suppliers' downstream customer orientation and supplier-customer homophily (i.e, similarity of the supplier and the customer) on the customers' innovation performance. Data pertaining to new product development projects with contributions from supplier firms was collected on both sides of the supplier-customer dyad The analysis shows that downstream customer orientation and supplier-customer homophily have a significant impact on the customer firms' new product efficiency (i.e project cost and project speed) and new product effectiveness (i.e., innovativeness), which in turn positively influence new product performance in terms of profitability, market share, and growth. (C) 2009 Elsevier Inc All tights reserved.",52,0019-8501,WOS:000283613500013
J,"Maes, Michael; Flache, Andreas",Differentiation without Distancing. Explaining Bi-Polarization of Opinions without Negative Influence,PLOS ONE,2013,"Explanations of opinion bi-polarization hinge on the assumption of negative influence, individuals' striving to amplify differences to disliked others. However, empirical evidence for negative influence is inconclusive, which motivated us to search for an alternative explanation. Here, we demonstrate that bi-polarization can be explained without negative influence, drawing on theories that emphasize the communication of arguments as central mechanism of influence. Due to homophily, actors interact mainly with others whose arguments will intensify existing tendencies for or against the issue at stake. We develop an agent-based model of this theory and compare its implications to those of existing social-influence models, deriving testable hypotheses about the conditions of bi-polarization. Hypotheses were tested with a group-discussion experiment (N = 96). Results demonstrate that argument exchange can entail bi-polarization even when there is no negative influence.",50,1932-6203,WOS:000327652100001
J,"Preciado, Paulina; Snijders, Tom A. B.; Burk, William J.; Stattin, Hakan; Kerr, Margaret",Does proximity matter? Distance dependence of adolescent friendships,SOCIAL NETWORKS,2012,"Geographic proximity is a determinant factor of friendship. Friendship datasets that include detailed geographic information are scarce, and when this information is available, the dependence of friendship on distance is often modelled by pre-specified parametric functions or derived from theory without further empirical assessment. This paper aims to give a detailed representation of the association between distance and the likelihood of friendship existence and friendship dynamics, and how this is modified by a few basic social and individual factors. The data employed is a three-wave network of 336 adolescents living in a small Swedish town, for whom information has been collected on their household locations. The analysis is a three-step process that combines (1) nonparametric logistic regressions to unravel the overall functional form of the dependence of friendship on distance, without assuming it has a particular strength or shape; (2) parametric logistic regressions to construct suitable transformations of distance that can be employed in (3) stochastic models for longitudinal network data, to assess how distance, individual covariates, and network structure shape adolescent friendship dynamics. It was found that the log-odds of friendship existence and friendship dynamics decrease smoothly with the logarithm of distance. For adolescents in different schools the dependence is linear, and stronger than for adolescents in the same school. Living nearby accounts, in this dataset, for an aspect of friendship dynamics that is not explicitly modelled by network structure or by individual covariates. In particular, the estimated distance effect is not correlated with reciprocity or transitivity effects. (C) 2011 Elsevier B.V. All rights reserved.",50,0378-8733,WOS:000300131600003
J,"Gibbons, D; Olk, PM",Individual and structural origins of friendship and social position among professionals,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,2003,"Friendship affects individual and organizational well-being through direct relations, social positions, and complex network structures. In this study, the authors use longitudinal data from 2 groups of master's of business administration students to increase understanding of how friendship networks develop. The authors propose and test a dynamic model in which attribute similarity facilitates dyadic friendship ties, as well as similar network centrality and social position; early friendship increases later similarity in structural position and centrality; and early structural similarity enhances the likelihood of future friendship. Findings largely supported the model, demonstrating how homophily and early social contacts can jointly shape maturing friendship networks.",50,0022-3514,WOS:000180538100006
J,"SUITOR, JJ; PILLEMER, K",EXPLAINING INTERGENERATIONAL CONFLICT WHEN ADULT CHILDREN AND ELDERLY PARENTS LIVE TOGETHER,JOURNAL OF MARRIAGE AND THE FAMILY,1988,,50,0022-2445,WOS:A1988U044700014
J,"Fang, Xiao; Hu, Paul Jen-Hwa; Li, Zhepeng (Lionel); Tsai, Weiyu",Predicting Adoption Probabilities in Social Networks,INFORMATION SYSTEMS RESEARCH,2013,"In a social network, adoption probability refers to the probability that a social entity will adopt a product, service, or opinion in the foreseeable future. Such probabilities are central to fundamental issues in social network analysis, including the influence maximization problem. In practice, adoption probabilities have significant implications for applications ranging from social network-based target marketing to political campaigns, yet predicting adoption probabilities has not received sufficient research attention. Building on relevant social network theories, we identify and operationalize key factors that affect adoption decisions: social influence, structural equivalence, entity similarity, and confounding factors. We then develop the locally weighted expectation-maximization method for Naive Bayesian learning to predict adoption probabilities on the basis of these factors. The principal challenge addressed in this study is how to predict adoption probabilities in the presence of confounding factors that are generally unobserved. Using data from two large-scale social networks, we demonstrate the effectiveness of the proposed method. The empirical results also suggest that cascade methods primarily using social influence to predict adoption probabilities offer limited predictive power and that confounding factors are critical to adoption probability predictions.",49,1047-7047,WOS:000315734200009
J,"Young, Jacob T. N.","How Do They 'End Up Together'? A Social Network Analysis of Self-Control, Homophily, and Adolescent Relationships",JOURNAL OF QUANTITATIVE CRIMINOLOGY,2011,"Self-control theory (Gottfredson and Hirschi 1990) argues that individuals with similar attributes tend to 'end up together' (i.e., homophily) because of the tendency to select friends based on self-control. Studies documenting homophily in peer groups interpret the correlation between self-control, peer delinquency, and self-reported delinquency as evidence that self-control is an influential factor in friendship formation. However, past studies are limited because they do not directly test the hypothesis that self-control influences friendship selection, nor do they account for other mechanisms that may influence decisions. As a result, it is unclear whether the correlation between individual and peer behavior is the result of selection based on self-control or alternative mechanisms. To address this gap in the literature this study employs exponential random graph modeling to test hypotheses derived from self-control theory using approximately 63,000 respondents from 59 schools from the National Longitudinal Survey of Adolescent Health (Add Health). In contrast to the predictions made by Gottfredson and Hirschi (1990), and the conclusions drawn from prior research, there is little evidence that self-control influences friendship selection. The findings are embedded in past work on the relationship between self-control and peer relationships, and implications for future research are discussed.",49,0748-4518,WOS:000293291500001
J,"Skopek, Jan; Schulz, Florian; Blossfeld, Hans-Peter",Who Contacts Whom? Educational Homophily in Online Mate Selection,EUROPEAN SOCIOLOGICAL REVIEW,2011,"Data from an online dating platform are used to study the importance of education for initiating and replying to online contacts. We analyse how these patterns are influenced by educational homophily and opportunity structures. Social exchange theory and mate search theory are used to explain online mate selection behaviour. Our results show that educational homophily is the dominant mechanism in online mate choice. Similarity in education significantly increases the rate of both sending and replying to initial contacts. After controlling for the opportunity structure on the platform, the preference for similar educated others is the most important factor, particularly among women. Our results also support the exchange theoretical idea that homophily increases with educational level. If dissimilarity contacting patterns are found, women are highly reluctant to contact partners with lower educational qualifications. Men, in contrast, do not have any problems to contact lower-qualified women. Studies of educational homogamy generally show that couples where women have a higher level of education are rare. Our study demonstrates that this is mainly the result of women's reluctance to contact lower qualified men.",49,0266-7215,WOS:000289164000003
J,"DiMaggio, Paul; Garip, Filiz",How Network Externalities Can Exacerbate Intergroup Inequality,AMERICAN JOURNAL OF SOCIOLOGY,2011,"The authors describe a common but largely unrecognized mechanism that produces and exacerbates intergroup inequality: the diffusion of valuable practices with positive network externalities through social networks whose members differentially possess characteristics associated with adoption. The authors examine two cases: the first, to explore the mechanism's implications and, the second, to demonstrate its utility in analyzing empirical data. In the first, the diffusion of Internet use, network effects increase adoption's benefits to associates of prior adopters. An agent-based model demonstrates positive, monotonic relationships, given externalities, between homophily bias and intergroup inequality in equilibrium adoption rates. In the second, rural-urban migration in Thailand, network effects reduce risk to persons whose networks include prior migrants. Analysis of longitudinal individual-level migration data indicates that network homophily interacts with network externalities to induce divergence of migration rates among otherwise similar villages.",48,0002-9602,WOS:000292603800004
J,"Lawrence, BS",Organizational reference groups: A missing perspective on social context,ORGANIZATION SCIENCE,2006,"This paper introduces and empirically explores the concept of an organizational reference group: the set of people an individual perceives as belonging to his or her work environment that defines the social world of work in which he or she engages. The concept is proposed to fill a gap in studies of social context. Scholars tend only to infer, not identify, the people an individual is aware of at work. This surmise creates no problem in groups or small organizations where everyone knows everyone else. However, it becomes troublesome in large organizations where the set of people one individual discerns may vary considerably from that of another. Social network studies of large organizations examine people an individual perceives, but focus on interpersonal communication through salient relationships. They tend to neglect the many distant others who populate an individual's social context: those known only through company newsletters or office gossip, those with whom the individual never has contact, and those who carry little immediate salience. Data from a large organization are used to explore whether organizational reference groups provide distinct, useful information about individuals' perceptions of their social context at work. The findings replicate those showing individuals' preferences for similar others, but also note previously unobserved systematic differences in the composition of close associations compared to the broader ones of organizational reference groups. Distant associations are considerably more homogeneous than close ones. Moreover, the results show that organizational reference groups illuminate career referent selection and expected achievement beyond what would be learned from a typical social network analysis.",47,1047-7039,WOS:000235678300006
J,"Sokhey, Anand Edward; McClurg, Scott D.",Social Networks and Correct Voting,JOURNAL OF POLITICS,2012,"Work on the nexus between deliberation and democratic practice has considered the normative consequences of socially driven behavior. However, a common criticism of interpersonal networks is that most people have insular social circles and that when they do not they are unlikely to engage in politics. We show that such pessimistic assessments are unwarranted, though for unexpected reasons. Using data from the 1992 Cross-National Election Project and the 2000 ANES, we examine the conditions under which social networks promote interest-based voting in the United States. We find that networks facilitate connections between individuals' vote decisions and their underlying preferences when they provide unambiguous signals regarding candidates-because many Americans reside in supportive social environments, networks often help citizens make ""correct"" voting decisions (Lau and Redlawsk 1997). Thus, social networks appear to help shoulder the demands of democratic theory, but not by helping people learn about politics in any traditional sense.",46,0022-3816,WOS:000307241500018
J,"Flache, Andreas; Macy, Michael W.",Local Convergence and Global Diversity: From Interpersonal to Social Influence,JOURNAL OF CONFLICT RESOLUTION,2011,"How can minority cultures resist assimilation into a global monolith in an increasingly ""small world""? Paradoxically, Axelrod found that local convergence can actually preserve global diversity if cultural influence is combined with homophily, the principle that ""likes attract."" However, follow-up studies showed that this diversity collapses under random cultural perturbation. The authors discovered a new source of this fragility-the assumption in Axelrod's model that cultural influence is interpersonal (dyadic). The authors replicated previous models but with the more empirically plausible assumption that influence is social-people can be simultaneously influenced by several network neighbors. Computational experiments show that cultural diversity then becomes much more robust than in Axelrod's original model or in published variations that included either social influence or homophily but not both. The authors conclude that global diversity may be sustained not by cultural experimentation and innovation but by the ability of cultural groups to discourage those activities.",46,0022-0027,WOS:000298354700005
J,"Glanville, JL",Voluntary associations and social network structure: Why organizational location and type are important,SOCIOLOGICAL FORUM,2004,"Are voluntary associations integrative forces in our society because they promote diverse social ties, or do they primarily promote ties between socially similar people? The answer depends on the location and type of the organization. Neighborhood organizations reinforce network density and homogeneity, whereas more distant organizations enhance network diversity. In contrast to instrumental organizations, expressive organizations increase network density and homogeneity. When organizational location and type are taken into account, the influence of membership on network diversity does not vary by gender. Neighborhood racial composition does not moderate the relationship between membership in neighborhood organizations and network racial diversity.",45,0884-8971,WOS:000224029200006
J,"Sally, D","A general theory of sympathy, mind-reading, and social interaction, with an application to the Prisoners' Dilemma",SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,2000,"A theory of sympathy is advanced, based on the insights of theorists such as Hume, Smith, Cooley, Mead, and Heider, and drawing an modern findings in sociology and social psychology. The process of identifying with another person is determined by the perception of distance from the other, may involve non-conscious imitation, and lead to an enlarged self-interest. The cave of the theory is a model balancing physical distance, psychological similarity and familiarity, affection, and evaluation. Great emphasis is placed on the incarnation of social actors, the importance of their bodies and sentiments, and the effects of the interaction order. This theoretical structure is applied to the Prisoners' Dilemma in order to derive a large set of predictions that are tested successfully against the wealth of experimental results.",44,0539-0184,WOS:000166317500003
J,"KADUSHIN, C",NETWORKS AND CIRCLES IN PRODUCTION OF CULTURE,AMERICAN BEHAVIORAL SCIENTIST,1976,,44,0002-7642,WOS:A1976CA59800007
J,"Papacharissi, Zizi","Toward New Journalism(s) Affective news, hybridity, and liminal spaces",JOURNALISM STUDIES,2015,"Research indicates that information sharing and conversational uses of online media by journalists, news organizations, and individual users render complex and networked social awareness systems that evolve beyond traditional ecologies of journalism. This essay examines the form of news ""prodused"" through networked platforms that converge broadcast and oral traditions of storytelling into contemporary news practices. Synthesizing existing research, I argue that the shape news takes on is affective, the form of production is hybrid, and that spaces produced discursively through news storytelling frequently function as electronic elsewheres, or as social spaces that support marginalized and liminal viewpoints. Affective news streams are defined as news collaboratively constructed out of subjective experience, opinion, and emotion all sustained by and sustaining ambient news environments. They provide liminal layers to storytelling, but also a way for storytelling audiences to feel their own place into a developing news story.",43,1461-670X,WOS:000346259300003
J,"Qiu, Lingyun; Benbasat, Izak",A study of demographic embodiments of product recommendation agents in electronic commerce,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,2010,"Product Recommendation Agents (PRAs) and other web-based decision aids are deployed extensively to provide online shoppers with virtual advising services While the design of PRA's functional features has received a high degree of attention in academic studies, the social aspects of human-PRA interactions are comparatively less exploredThis paper investigates the potential of enhancing users' social experiences of interacting with an anthropomorphic PRA (i e an agent with human-like characteristics, such as facial expressions, body gestures, or speech output) by manipulating its demographic embodiments The two demographic variables assessed are ethnicity and gender As suggested by similarity-attraction theory and social identity theory. the results of our laboratory experiment reveal that PRAs that match the ethnicity, though not the gender, of their users are perceived as more sociable, more enjoyable. and more useful to interact with than the mismatched ones More interestingly, the ""matching-up"" effects of ethnicity are more significant among female users than males Implications for practitioners on how to use an anthropomorphic agent's demographic characteristics to enhance users' interaction experience are also discussed (C) 2010 Elsevier Ltd All rights reserved",43,1071-5819,WOS:000281509200005
J,"Tasselli, Stefano; Kilduff, Martin; Menges, Jochen I.",The Microfoundations of Organizational Social Networks: A Review and an Agenda for Future Research,JOURNAL OF MANAGEMENT,2015,"This paper focuses on an emergent debate about the microfoundations of organizational social networks. We consider three theoretical positions: an individual agency perspective suggesting that people, through their individual characteristics and cognitions, shape networks; a network patterning perspective suggesting that networks, through their structural configuration, form people; and a coevolution perspective suggesting that people, in their idiosyncrasies, and networks, in their differentiated structures, coevolve. We conclude that individual attitudes, behaviors, and outcomes cannot be fully understood without considering the structuring of organizational contexts in which people are embedded, and that social network structuring and change in organizations cannot be fully understood without considering the psychology of purposive individuals. To guide future research, we identify key questions from each of the three theoretical perspectives and, particularly, encourage more research on how individual actions and network structure coevolve in a dynamic process of reciprocal influence.",42,0149-2063,WOS:000355379100004
J,"Block, Per","Reciprocity, transitivity, and the mysterious three-cycle",SOCIAL NETWORKS,2015,"Reciprocity and transitivity are the two most important structural mechanisms underlying friendship network evolution. While on their own they are understood in great detail, the relation between them is rarely studied systematically. Are friendships outside of social groups more or less likely to be reciprocated than friendships embedded in a group? Using a theoretical framework that focusses on the situations in which friends interact and the social structures that stabilise one-sided friendships, I propose that the tendency towards reciprocation of friendships within transitive groups is usually lower than outside of transitive groups. In a meta-analysis of two datasets including 29 friendship networks using stochastic actor-oriented models (SAOMs), the interaction between reciprocity and transitivity is analysed. Supporting the theoretical reasoning, the interaction is consistently negative. Second, the tendency against forming three-cycles in friendship networks, which was consistently found in previous studies, is shown to be spurious and a result of neglecting to control for the tendency against reciprocation in transitive groups. The tendency against three-cycles is commonly seen as an indicator that unreciprocated friendships indicate local hierarchy differences between individuals; this proposition has to be re-evaluated in light of the findings of this study. Future studies that analyse the evolution of friendship networks should consider modelling reciprocation in transitive triplets and potentially omit modelling three-cycles. (c) 2014 Elsevier B.V. All rights reserved.",40,0378-8733,WOS:000347585500016
J,"Isbell, Lynne A.; Young, Truman P.; Harcourt, Alexander H.",Stag Parties Linger: Continued Gender Bias in a Female-Rich Scientific Discipline,PLOS ONE,2012,"Discussions about the underrepresentation of women in science are challenged by uncertainty over the relative effects of the lack of assertiveness by women and the lack of recognition of them by male colleagues because the two are often indistinguishable. They can be distinguished at professional meetings, however, by comparing symposia, which are largely by invitation, and posters and other talks, which are largely participant-initiated. Analysis of 21 annual meetings of the American Association of Physical Anthropologists reveals that within the subfield of primatology, women give more posters than talks, whereas men give more talks than posters. But most strikingly, among symposia the proportion of female participants differs dramatically by the gender of the organizer. Male-organized symposia have half the number of female first authors (29%) that symposia organized by women (64%) or by both men and women (58%) have, and half that of female participation in talks and posters (65%). We found a similar gender bias from men in symposia from the past 12 annual meetings of the American Society of Primatologists. The bias is surprising given that women are the numerical majority in primatology and have achieved substantial peer recognition in this discipline.",40,1932-6203,WOS:000311821000085
J,"Gresenz, Carole Roan; Rogowski, Jeannette; Escarce, Jose J.",Community Demographics and Access to Health Care among US Hispanics,HEALTH SERVICES RESEARCH,2009,"ObjectiveTo explore the influence of the communities in which Hispanics live on their access to health care.Data1996-2002 Medical Expenditure Panel Survey data, linked to secondary data sources and including 14,504 observations from 8,371 Mexican American respondents living in metropolitan areas.Study DesignWe use multivariate probit regression models, stratified by individuals' insurance status, for analyses of four dependent variables measuring access to health care. We measure community characteristics at the zip code tabulation area level, and key independent variables of interest are the percentage of the population that speaks Spanish and percentage of the population that is immigrant Hispanic. Each of these measures is interacted with individual-level measures of nativity and length of U.S. residency.Principal FindingsFor Mexican American immigrants, living in an area populated by relatively more Spanish speakers or more Hispanic immigrants is associated with better access to care. The associations are generally stronger for more recent immigrants compared with those who are better established. Among U.S.-born Mexican Americans who are uninsured, living in areas more heavily populated with Spanish-speaking immigrants is negatively associated with access to care.ConclusionsThe results suggest that characteristics of the local population, including language and nativity, play an important role in access to health care among U.S. Hispanics, and point to the need for further study, including analyses of other racial and ethnic groups, using different geographic constructs for describing the local population, and, to the extent possible, more specific exploration of the mechanisms through which these characteristics may influence access to care.",40,0017-9124,WOS:000269494600007
J,"COOMBS, RH",VALUE CONSENSUS AND PARTNER SATISFACTION AMONG DATING COUPLES,JOURNAL OF MARRIAGE AND THE FAMILY,1966,,40,0022-2445,WOS:A1966ZE41100007
B,"Schaeffer, M","Ethnic Diversity and Social Cohesion: Immigration, Ethnic Fractionalization and Potentials for Civic Action","ETHNIC DIVERSITY AND SOCIAL COHESION: IMMIGRATION, ETHNIC FRACTIONALIZATION AND POTENTIALS FOR CIVIC ACTION",2014,,39,,WOS:000414145100010
J,"Singh, Jasjit; Hansen, Morten T.; Podolny, Joel M.",The World Is Not Small for Everyone: Inequity in Searching for Knowledge in Organizations,MANAGEMENT SCIENCE,2010,"We explore why some employees may be at a disadvantage in searching for information in organizations. The ""small-world"" argument in social network theory emphasizes that people are, on average, only a few connections away from the information they seek. However, we argue that such a network structure does not benefit everyone: some employees may have longer search paths in locating knowledge in an organization-their world may be large. We theorize that this disadvantage is the result of more than just an inferior network position. Instead, two mechanisms-periphery status and homophily-jointly operate to aggravate the inefficiency of search for knowledge. Employees who belong to the periphery of an organization because of their minority gender status, lower tenure, or poor connectedness have limited awareness of who knows what and a lower ability to seek help from others best suited to guide the search. When they start a search chain, they are likely to engage in homophilous search by contacting colleagues like themselves, thus contacting others who also belong to the periphery. To search effectively, employees on the periphery need to engage in heterophilous search behaviors by crossing social boundaries. We find support for these arguments in a network field experiment consisting of 381 unfolding search chains in a large multinational professional services firm. The framework helps explain employees' unequal access to the knowledge they seek, a poorly understood yet important type of organizational inequity in an information economy.",39,0025-1909,WOS:000281715300001
J,"Johnson, Neil F.; Xu, Chen; Zhao, Zhenyuan; Ducheneaut, Nicolas; Yee, Nicholas; Tita, George; Hui, Pak Ming",Human group formation in online guilds and offline gangs driven by a common team dynamic,PHYSICAL REVIEW E,2009,"Quantifying human group dynamics represents a unique challenge. Unlike animals and other biological systems, humans form groups in both real (offline) and virtual (online) spaces-from potentially dangerous street gangs populated mostly by disaffected male youths to the massive global guilds in online role-playing games for which membership currently exceeds tens of millions of people from all possible backgrounds, age groups, and genders. We have compiled and analyzed data for these two seemingly unrelated offline and online human activities and have uncovered an unexpected quantitative link between them. Although their overall dynamics differ visibly, we find that a common team-based model can accurately reproduce the quantitative features of each simply by adjusting the average tolerance level and attribute range for each population. By contrast, we find no evidence to support a version of the model based on like-seeking-like (i.e., kinship or ""homophily"").",39,1539-3755,WOS:000267698900029
J,"Anandkumar, Animashree; Ge, Rong; Hsu, Daniel; Kakade, Sham M.",A Tensor Approach to Learning Mixed Membership Community Models,JOURNAL OF MACHINE LEARNING RESEARCH,2014,"Community detection is the task of detecting hidden communities from observed interactions. Guaranteed community detection has so far been mostly limited to models with non-overlapping communities such as the stochastic block model. In this paper, we remove this restriction, and provide guaranteed community detection for a family of probabilistic network models with overlapping communities, termed as the mixed membership Dirichlet model, first introduced by Airoldi et al. (2008). This model allows for nodes to have fractional memberships in multiple communities and assumes that the community memberships are drawn from a Dirichlet distribution. Moreover, it contains the stochastic block model as a special case. We propose a unified approach to learning these models via a tensor spectral decomposition method. Our estimator is based on low-order moment tensor of the observed network, consisting of 3-star counts. Our learning method is fast and is based on simple linear algebraic operations, e.g., singular value decomposition and tensor power iterations. We provide guaranteed recovery of community memberships and model parameters and present a careful finite sample analysis of our learning method. As an important special case, our results match the best known scaling requirements for the (homogeneous) stochastic block model.",38,1532-4435,WOS:000344638300012
