AU,AF,TI,AB,SN,EI,PD,PY,VL,IS,BP,EP,AR,DI,UT
"Cross, R; Parker, A; Prusak, A; Borgatti, SP","Cross, R; Parker, A; Prusak, A; Borgatti, SP",Knowing what we know: Supporting knowledge creation and sharing in social networks,,0090-2616,,,2001,30,2,100,120,,10.1016/S0090-2616(01)00046-8,WOS:000172939200002
"Kostova, T; Roth, K","Kostova, T; Roth, K",Social capital in multinational corporations and a micro-macro model of its formation,"Linking theories of social capital with theories of multinational corporations (MNCs), we discuss the need for and creation of social capital in foreign subunits of MNCs. We argue that the required levels and forms of social capital are determined by the nature of interdependence between headquarters and subunits, and thus vary by different models of MNCs. We then develop a micro-macro model of social capital formation, explaining how boundary spanners form their private social capital and how this social capital is transformed into public social capital of the subunit.",0363-7425,,APR,2003,28,2,297,317,,,WOS:000181947500012
"Abrahamson, E; Rosenkopf, L","Abrahamson, E; Rosenkopf, L",Social network effects on the extent of innovation diffusion: A computer simulation,"Theories of innovation diffusion no longer focus exclusively on explaining the rate at which innovations diffuse or the sequence in which they are adopted. They also focus on explaining why certain innovations diffuse extensively, becoming de facto standards, whereas others do so partially or not at all. Many of these theories specify a bandwagon process: a positive feedback loop in which increases in the number of adopters create stronger bandwagon pressures, and stronger bandwagon pressures, in turn, cause increases in the number of adopters. Factors affecting if and how many times this feedback loop cycles explain if and how many potential adopters jump on a bandwagon. We argue that one important factor has not yet been incorporated into theories explaining bandwagons' extent: the structure of social networks through which potential adopters of innovations find out information about these innovations which can cause them to adopt these innovations. We advance a theory of how the structure of social networks affects bandwagons' extent. We propose that both the number of network links, as well as small, seemingly insignificant idiosyncracies of their structures, can have very large effects on the extent of an innovation's diffusion among members of a social network.",1047-7039,,MAY-JUN,1997,8,3,289,309,,10.1287/orsc.8.3.289,WOS:A1997XB18600006
"Bouty, I","Bouty, I",Interpersonal and interaction influences on informal resource exchanges between R&D researchers across organizational boundaries,"Though key to fostering innovation, interpersonal exchanges of resources between R&D scientists across organizational boundaries can represent intellectual capital leaks. A grounded theoretical framework is developed for individual exchange decisions. Social capital emerges as the key success factor in this resources acquisition process. Strategic resources can only be exchanged under conditions of acquaintance and mutual trust. The economic interests of a scientist's employing firm and personal considerations are intertwined.",0001-4273,,FEB,2000,43,1,50,65,,10.2307/1556385,WOS:000085377100003
"KILDUFF, M; KRACKHARDT, D","KILDUFF, M; KRACKHARDT, D",BRINGING THE INDIVIDUAL BACK IN - A STRUCTURAL-ANALYSIS OF THE INTERNAL MARKET FOR REPUTATION IN ORGANIZATIONS,"We challenge the claimed incommensurability of individualism and structuralism by showing how a cognitive theory can guide the use of structural methods. According to balance theory, there is a strain toward cognitive balance in observers' perceptions of friendship relations. Thus, we found, as predicted, that being perceived to have a prominent friend in an organization boosted an individual's reputation as a good performer, but that actually having such a friend (as assessed by conventional structural methods] had no effect. Bringing individual perceptions back into structural analysis enhances, rather than detracts from, the effectiveness of a structural approach.",0001-4273,,FEB,1994,37,1,87,108,,10.2307/256771,WOS:A1994MU90800004
"PALMER, DA; JENNINGS, PD; ZHOU, XG","PALMER, DA; JENNINGS, PD; ZHOU, XG","LATE ADOPTION OF THE MULTIDIVISIONAL FORM BY LARGE UNITED-STATES CORPORATIONS - INSTITUTIONAL, POLITICAL, AND ECONOMIC ACCOUNTS","This paper presents a refined test of the institutional, political, and economic accounts of adoption of the multidivisional form (MDF) among large U.S. industrial corporations in the 1960s, most notably by elaborating the institutional account. Results suggest that institutional processes, including coercive and normative dynamics, substantially underpinned the MDF's diffusion during the 1960s. Firms producing in industries that shunned the MDF earlier in this century were slow to adopt this form in the 1960s, an effect mediated by the percentage of firms in a corporation's sector using the MDF at the time. In addition, firms with high debt-to-equity ratios, whose chief executives had elite business school degrees, and whose directors had nondirectional corporate board contacts with the directors of MDF firms adopted the MDF more frequently than other firms. Substantial support was also found for the economic account, although little was found for the straightforward political view. In the conclusion we discuss the relationship between institutional, political, and economic theories of formal organization in light of our results.",0001-8392,,MAR,1993,38,1,100,131,,10.2307/2393256,WOS:A1993KY25200005
"Phelps, C; Heidl, R; Wadhwa, A","Phelps, Corey; Heidl, Ralph; Wadhwa, Anu","Knowledge, Networks, and Knowledge Networks: A Review and Research Agenda","A large and growing body of empirical research shows that social relationships and the networks these relationships constitute are influential in explaining the processes of knowledge creation, diffusion, absorption, and use. The authors refer to such networks as ""knowledge networks."" They advance an understanding of knowledge networks at multiple levels by conducting a systematic review and analysis of empirical research published on this topic in leading management, psychology, sociology, and economics journals. The authors develop a comprehensive framework that organizes the knowledge networks literature, which they use to review extant empirical research within and across multiple disciplines and levels of analysis. They identify points of coherence and conflict in theoretical arguments and empirical results within and across levels and identify emerging themes and promising areas for future research.",0149-2063,1557-1211,JUL,2012,38,4,1115,1166,,10.1177/0149206311432640,WOS:000304603800007
"Laplume, AO; Sonpar, K; Litz, RA","Laplume, Andre O.; Sonpar, Karan; Litz, Reginald A.",Stakeholder Theory: Reviewing a Theory That Moves Us,"This article reviews the academic stakeholder theory literature as it developed between 1984 and 2007. The authors content analyzed 179 articles that directly addressed Freeman's work on stakeholder theory and found five themes: (a) stakeholder definition and salience, (b) stakeholder actions and responses, (c) firm actions and responses, (d) firm performance, and (e) theory debates. Themes were observed in multiple research fields, suggesting broad appeal. The authors noted a substantial rise in stakeholder theory's prominence since 1995 and documented that the theory has detractors insofar as it questions shareholders' wealth maximization as the most fundamental objective of business. The authors' recommendations include urging more empirical research across a broader set of organizations apart from large publicly traded corporations, more qualitative research to document cognitive aspects of how managers respond to stakeholder expectations, and a return to the theory's emphasis on the strategic benefits of stakeholder management, albeit with a broader view of firm performance.",0149-2063,1557-1211,DEC,2008,34,6,1152,1189,,10.1177/0149206308324322,WOS:000261095200005
"Eby, LT; Butts, M; Lockwood, A","Eby, LT; Butts, M; Lockwood, A",Predictors of success in the era of the boundaryless career,"The present study examines three classes of career competencies proposed a, important predictors of success in the boundaryless career. Three criteria of career success were examined: perceived career satisfaction, perceived internal marketability, and perceived external marketability. Using data from 458 alumni from a large southeastern university, predictions were tested using partial correlations and dominance analysis. The results found support for the importance of 'knowing why,' 'knowing whom,' and 'knowing how' as suggested by previous theoretical work. The findings are discussed in reference to future research and theorizing on the boundaryless career. Copyright (C) 2003 John Wiley Sons. Ltd.",0894-3796,,SEP,2003,24,6,689,708,,10.1002/job.214,WOS:000185122000002
"Phelps, CC","Phelps, Corey C.",A LONGITUDINAL STUDY OF THE INFLUENCE OF ALLIANCE NETWORK STRUCTURE AND COMPOSITION ON FIRM EXPLORATORY INNOVATION,"This study examines the influence of the structure and composition of a firm's alliance network on its exploratory innovation innovation embodying knowledge that is novel relative to the firm's extant knowledge. A longitudinal investigation of 77 telecommunications equipment manufacturers indicated that the technological diversity of a firm's alliance partners increases its exploratory innovation. Further, network density among a firm's alliance partners strengthens the influence of diversity. These results suggest the benefits of network ""closure"" (wherein a firm's partners are also partners) and access to diverse information can coexist in an alliance network and that these combined benefits increase exploratory innovation.",0001-4273,,AUG,2010,53,4,890,913,,10.5465/AMJ.2010.52814627,WOS:000281616700012
"Battilana, J","Battilana, Julie",Agency and institutions: The enabling role of individuals' social position,"Although early neo-institutional studies did not explicitly tackle the issue of agency, more recent studies about institutional entrepreneurship have brought it to the forefront. Institutional entrepreneurship has been presented as a promising way to account for institutional change endogenously. However, this notion faces the paradox of embedded agency. To overcome this paradox, it is necessary to explain under what conditions actors are enabled to act as institutional entrepreneurs. Some neo-institutional theorists have already addressed this issue. Their studies focus mainly on the organizational and organizational field levels of analysis. In this paper, I aim to complement their work by examining under what conditions individuals are more likely to engage in institutional entrepreneurship. By doing so, I take into account the individual level of analysis that neo-institutional theorists often tend to neglect. Relying on Bourdieu's conceptualization of fields, I propose that individuals' social position is a key variable in understanding how they are enabled to act as institutional entrepreneurs despite institutional pressures.",1350-5084,1461-7323,SEP,2006,13,5,653,676,,10.1177/1350508406067008,WOS:000240553800003
"Elfring, T; Hulsink, W","Elfring, T; Hulsink, W",Networks in entrepreneurship: The case of high-technology firms,"The value of networks as an integral part of the explanation of entrepreneurial success is widely acknowledged. However, the network perspective does not specify the role of networks in the emergence and early growth of a venture. We have distinguished three entrepreneurial processes in new venture development, i.e. discovery of opportunities, securing resources, and obtaining legitimacy, which are of importance for survival and performance. This paper examines how these processes are influenced by strong and/or weak ties and whether the degree of innovation (incremental versus radical) acts as a contingency factor in the way network ties support entrepreneurial processes. In this explorative study three cases on high technology firms in The Netherlands provide empirical material enabling us to develop a number of propositions on the network effect, in particular the mix of strong and weak ties, on the three entrepreneurial processes.",0921-898X,,DEC,2003,21,4,409,422,,10.1023/A:1026180418357,WOS:000185859100008
"Dacin, MT; Ventresca, MJ; Beal, BD","Dacin, MT; Ventresca, MJ; Beal, BD",The embeddedness of organizations: Dialogue & directions,"We review research on organizations to highlight prevailing and emerging conceptions for embeddedness, An integrated framework that considers the sources, mechanisms, outcomes, and strategic implications of embeddedness is presented. Also, promising research directions for embeddedness approaches, including cross-level issues (such as collective cognition and nesting), as well as issues related to temporality, networks, and methodology are identified. (C) 1999 Elsevier Science Inc. All rights reserved.",0149-2063,1557-1211,,1999,25,3,317,356,,10.1177/014920639902500304,WOS:000081348500003
"Haleblian, J; Devers, CE; McNamara, G; Carpenter, MA; Davison, RB","Haleblian, Jerayr; Devers, Cynthia E.; McNamara, Gerry; Carpenter, Mason A.; Davison, Robert B.",Taking Stock of What We Know About Mergers and Acquisitions: A Review and Research Agenda,"Scholars from multiple fields have shown increasing interest in the causes and consequences of mergers and acquisitions (M&A) Although this proliferation of research has the potential to significantly improve our understanding of M&A activity, absent is the necessary step of consolidating and integrating extant knowledge. Accordingly, this article develops a framework to organize and review recent empirical findings, principally from management, economics, and finance in which interest in acquisition behavior is high but also from other areas that have tangentially explored acquisition activity such as accounting and sociology. This article identifies patterns and theoretical gaps and provides recommendations for future research aimed at developing a more integrated M&A research agenda for management scientists.",0149-2063,1557-1211,JUN,2009,35,3,469,502,,10.1177/0149206308330554,WOS:000266729600001
"Reagans, R; Zuckerman, E; McEvily, B","Reagans, R; Zuckerman, E; McEvily, B",How to make the team: Social networks vs. demography as criteria for designing effective teams,"We compare two alternative approaches for evaluating the potential of a work group or team: one that focuses on team members' demographic characteristics and one that focuses on the members' social networks. Given that people's network contacts often share their demographic attributes (i.e., the network is homophilous), the two approaches seem equivalent, and the first seems preferable because it is easier to implement. In this paper, we demonstrate several important limits to this rationale. First, we argue and show, in an analysis of 1,518 project teams in a contract research and development firm, that even when internal organizational networks are significantly homophilous with respect to demographic variables, the very logic of the causal structure that underlies theories of demographic diversity carries ambiguous performance implications. This ambiguity is due to the fact that demographic diversity has opposing effects on two social network variables-internal density and external range-each of which has a positive effect on a team's performance. We also demonstrate that a focus on demographic criteria is problematic because the demographic makeup of an organization can place inherent limits on a manager's ability to shape the demographic composition of a team. The ambiguous performance implications and the inherent limits placed on a manager's ability to manage a team's demography reduce the likelihood that a manager's interventions will be successful. The performance implications of managing a team's social capital, however, are clear.",0001-8392,1930-3815,MAR,2004,49,1,101,133,,,WOS:000224876200004
"Ellis, P","Ellis, P",Social ties and foreign market entry,"The social dynamics which precede international exchange are considered in light of data collected on 133 foreign market entries from a sample of highly-internationalized manufacturing firms. Consistent with research done in the social network field, the findings support the hypothesis that knowledge of foreign market opportunities is commonly acquired via existing interpersonal links rather than collected systematically via market research. This study thus contributes towards an understanding of those antecedent conditions that lead to the formation of export exchange relationships.",0047-2506,,,2000,31,3,443,469,,10.1057/palgrave.jibs.8490916,WOS:000166504600005
"Haunschild, PR; Beckman, CM","Haunschild, PR; Beckman, CM",When do interlocks matter?: Alternate sources of information and interlock influence,"The purpose of this study was to investigate when director interlocks affect corporate behavior, and how much influence they exert, by studying the conditions under which their influence varies. Existing theory supports the view that interlocks provide information, which affects firms' adoption of strategies and structures. If interlocks provide information, their influence should diminish to the extent that alternate sources of information are available. We measured the effect of alternate sources of information on the relationship between interlocks and corporate acquisitions. Results show that most alternate sources (e.g., CEO membership in the Business Roundtable) reduce the impact of the interlock, but one source (business press coverage) increases it. Also, information from similar interlock partners is more influential than information from dissimilar interlock partners. Our findings suggest a theory of interorganizational information: the substitutability and complementarity of multiple information sources affect their influence. The implications of our study for interlock and information theories are discussed.(.)",0001-8392,,DEC,1998,43,4,815,844,,10.2307/2393617,WOS:000078591500003
"Iammarino, S; McCann, P","Iammarino, Simona; McCann, Philip","The structure and evolution of industrial clusters: Transactions, technology and knowledge spillovers","In this paper, we investigate the relationship between location patterns, innovation processes and industrial clusters. In order to do this we extend a transactions costs-based classification into a knowledge-based taxonomy of clusters, along the lines suggested by a critical revision of the main assumptions underlying most of the existing literature on spatial clusters. Our arguments show that the transactions costs approach and the innovation and technological regimes framework are broadly consistent, and that real insights into the microfoundations, nature, and evolution of clusters can be provided by these classification systems. (c) 2006 Elsevier B.V. All rights reserved.",0048-7333,1873-7625,SEP,2006,35,7,1018,1036,,10.1016/j.respol.2006.05.004,WOS:000240391500008
"Florin, J; Lubatkin, M; Schulze, W","Florin, J; Lubatkin, M; Schulze, W",A social capital model of high-growth ventures,"We use social capital theory to explain how human and social capital affect a venture's ability to accumulate financial capital during its growth stages (before an initial public offering) and its performance during the two-year period after going public. Consistent with theory, data drawn from a sample of 275 ventures that went public indicate that social capital leverages the productivity of a venture's resource base and provides the venture with a durable source of competitive advantage.",0001-4273,1948-0989,JUN,2003,46,3,374,384,,10.2307/30040630,WOS:000183661400008
"Menzel, MP; Fornahl, D","Menzel, Max-Peter; Fornahl, Dirk",Cluster life cycles-dimensions and rationales of cluster evolution,"We present a model that explains how the very cluster dynamics is both the driver for the movement of a cluster through a life cycle and the reason why this movement differs from the industry life cycle. The model is based on two key processes: the first is that the emergence, growth, decline and renewal of the cluster depend on the technological heterogeneity of firms; the second is that firms have a larger relative absorptive capacity, when they are in the same location, and thus especially localized learning changes heterogeneity: it leads to a technological convergence when learning takes place within the cluster and technological divergence, when learning takes place outside the cluster, yet in the same region. We derive hypothesis from the model regarding different phases of the cluster life cycle.",0960-6491,,FEB,2010,19,1,205,238,,10.1093/icc/dtp036,WOS:000274088700007
"Simsek, Z","Simsek, Zeki",Organizational Ambidexterity: Towards a Multilevel Understanding,"Although interest in the concept of organizational ambidexterity has increased during recent years, this line of inquiry remains unfocused and limited due to a lack of more encompassing conceptual efforts. As a first step, we begin by critically reviewing previous research on the conceptualization, antecedents, and consequences of ambidexterity. We then offer a model that specifies a more encompassing, multilevel explanation of ambidexterity. Finally, we trace research and managerial implications and suggest some potential research avenues.",0022-2380,,JUN,2009,46,4,597,624,,10.1111/j.1467-6486.2009.00828.x,WOS:000265509800002
"Evans, WR; Davis, WD","Evans, WR; Davis, WD",High-performance work systems and organizational performance: The mediating role of internal social structure,"This study provides a theoretical framework illustrating how the internal social structure of the organization can mediate the relationship between high-performance work systems (HPWS) and organizational performance. HPWS positively influence the internal social structure by facilitating bridging network ties, generalized norms of reciprocity, shared mental models, role making, and organizational citizenship behavior. Although HPWS are conceptualized as a system of human resource (HR) practices, each category of HR practices has a differential relationship with the mediating variables. HPWS lead to (a) financial performance via administrative efficiency and (b) sustainable performance via flexibility arising from the coordination and exploitation of knowledge resources.",0149-2063,1557-1211,OCT,2005,31,5,758,775,,10.1177/0149206305279370,WOS:000232340400007
"Ashford, SJ; Rothbard, NP; Piderit, SK; Dutton, JE","Ashford, SJ; Rothbard, NP; Piderit, SK; Dutton, JE",Out on a climb: The role of context and impression management in selling gender-equity issues,"Under what conditions will women raise and promote gender-equity issues in their work organizations! We used structural equation modeling to analyze responses from a sample of over a thousand female managers to address this question. The results suggest that the perceived favorability of the organizational context fosters a willingness to sell gender-equity issues in organizations. The contextual factors that influenced willingness to sell were perceptions of a high degree of organizational support and of a warm and trusting relationship with critical decision makers, which enhanced the perceived probability of selling success and diminished the perceived image risk in selling. Organizational norms for issue selling also increased willingness to sell gender-equity issues by deflating perceived image risk, Individual differences did not predict willingness to sell gender-equity issues. We address the theoretical and practical implications of these findings.",0001-8392,1930-3815,MAR,1998,43,1,23,57,,10.2307/2393590,WOS:000073536400003
"GHOSHAL, S; KORINE, H; SZULANSKI, G","GHOSHAL, S; KORINE, H; SZULANSKI, G",INTERUNIT COMMUNICATION IN MULTINATIONAL-CORPORATIONS,"In this paper we investigate some of the organizational factors that influence subsidiary-headquarters and intersubsidiary communication in multinational companies. Our study is based on data collected from 164 senior managers working in 14 different national subsidiaries within the consumer electronics division of Matsushita, a Japanese company, and 84 senior managers working in nine different national subsidiaries within the same business of N.V. Philips, the Holland-based competitor of Matsushita. We show that while subsidiary autonomy has no discernable influence on interunit communication, interpersonal relationships developed through lateral networking mechanisms such as joint work in teams, taskforces, and meetings have significant positive effects on the frequency of both subsidiary-headquarters and intersubsidiary communication. The findings are consistent in the two companies, one Japanese and the other European, and the underlying theoretical propositions appear applicable across borders.",0025-1909,,JAN,1994,40,1,96,110,,10.1287/mnsc.40.1.96,WOS:A1994NW22100008
"Miller, T; Triana, MD","Miller, Toyah; Triana, Maria del Carmen",Demographic Diversity in the Boardroom: Mediators of the Board Diversity-Firm Performance Relationship,"Whereas the majority of research on board diversity explores the direct relationship between racial and gender diversity and firm performance, this paper investigates mediators that explain how board diversity is related to firm performance. Grounded in signalling theory and the behavioural theory of the firm, we suggest that this relationship operates through two mediators: firm reputation and innovation. In a sample of Fortune 500 firms, we find a positive relationship between board racial diversity and both firm reputation and innovation. We find that reputation and innovation both partially mediate the relationship between board racial diversity and firm performance. In addition, we find a positive relationship between board gender diversity and innovation.",0022-2380,1467-6486,JUL,2009,46,5,755,786,,10.1111/j.1467-6486.2009.00839.x,WOS:000266426300002
"DEBRESSON, C; AMESSE, F","DEBRESSON, C; AMESSE, F",NETWORKS OF INNOVATORS - A REVIEW AND INTRODUCTION TO THE ISSUE,,0048-7333,,OCT,1991,20,5,363,379,,10.1016/0048-7333(91)90063-V,WOS:A1991GV19000001
"Acquaah, M","Acquaah, Moses","Managerial social capital, strategic orientation, and organizational performance in an emerging economy","This study replicates and extends previous research focusing on China, to a sub-Saharan African emerging economy environment. Specifically, the study directly replicates the impact of social capital derived from the micro-managerial networking relationships and ties with top managers at other firms and government officials on macro-organizational performance using data from Ghana. This study further extends previous work by examining the impact of social capital derived from managerial social networking relationships and ties with community leaders on organizational performance. It examines how the relationship between social capital and organizational performance is contingent on an organization's competitive strategic orientation. The findings suggest that social capital developed from managerial networking and social relationships with top managers at other firms, government officials (political leaders and bureaucratic officials), and community leadership enhance organizational performance. The findings from the contingency analyses reveal some interesting trends. The impact of social capital on organizational performance differs between firms that pursue the different competitive strategies (low-cost, differentiation, and combination of low-cost and differentiation) and those who do not pursue those strategies. Copyright (C) 2007 John Wiley & Sons, Ltd.",0143-2095,,DEC,2007,28,12,1235,1255,,10.1002/smj.632,WOS:000251021600004
"SEABRIGHT, MA; LEVINTHAL, DA; FICHMAN, M","SEABRIGHT, MA; LEVINTHAL, DA; FICHMAN, M",ROLE OF INDIVIDUAL ATTACHMENTS IN THE DISSOLUTION OF INTERORGANIZATIONAL RELATIONSHIPS,"In this study, we propose that changes affecting the resource fit between organizations exchanging resources provide an impetus for the dissolution of their relationships, whereas the individual and structural attachments that develop between exchange partners over time counter those pressures for change. The empirical analysis examined the severance of auditor-client relationships using a case-control design. Change in clients' resource needs increased the likelihood of their switching auditors, but attachment of individuals primarily responsible for the exchange relationship decreased the likelihood of switching. Moreover, those attachments attenuated the effect of changes in clients' resource needs on the likelihood of switching auditors. The study suggests that ties between boundary spanners play a major role in the maintenance of interorganizational relationships.",0001-4273,,MAR,1992,35,1,122,160,,10.2307/256475,WOS:A1992HE68100005
"Labianca, G; Brass, DJ","Labianca, Giuseppe; Brass, Daniel J.",Exploring the social ledger: Negative relationships and negative asymmetry in social networks in organizations,"We explore the role of negative relationships in the context of social networks in work organizations. Whereas network researchers have emphasized the benefits and opportunities derived from positive interpersonal relationships, we examine the social liabilities that can result from negative relationships in order to flesh out the entire ""social ledger."" Deriving our argument from theory and research on negative asymmetry, we propose that these negative relationships may have greater power than positive relationships to explain workplace outcomes.",0363-7425,1930-3807,JUL,2006,31,3,596,614,,10.5465/AMR.2006.21318920,WOS:000238379400007
"Cross, R; Sproull, L","Cross, R; Sproull, L",More than an answer: Information relationships for actionable knowledge,"Research on information processing, managerial cognition, and social networks demonstrates that people rely on other people for information. However, this work has not specified how seeking information from others results in actionable knowledge-knowledge directed at making progress on relatively short-term projects. This research employs both qualitative and quantitative methods to investigate how personal sources of information contribute to actionable knowledge. Our qualitative study found that people cultivate different kinds of information relationships that are the source of 5 components of actionable knowledge: (1) solutions (both know-what and know-how), (2) referrals (pointers to other people or databases), (3) problem reformulation, (4) validation, and (5) legitimation. Our quantitative study revealed that, while source expertise predicted receipt of these components of actionable knowledge, so too did expertise of the seeker and features of the relationship between the seeker and source. We draw implications from these findings for the study of social capital and organizational learning.",1047-7039,,JUL-AUG,2004,15,4,446,462,,10.1287/orsc.1040.0075,WOS:000223151600005
"Balkundi, P; Kilduff, M","Balkundi, P; Kilduff, M",The ties that lead: A social network approach to leadership,"This article investigates, for leadership research, the implications of new directions in social network theory that emphasize networks as both cognitive structures in the minds of organizational members and opportunity structures that facilitate and constrain action. We introduce the four core ideas at the heart of the network research program: the importance of relations, actors' embeddedness, the social utility of connections, and the structural patterning of social life. Then we present a theoretical model of how network cognitions in the minds of leaders affect three types of networks: the direct ties surrounding leaders, the pattern of direct and indirect ties within which leaders are embedded in the whole organization and the interorganizational linkages formed by leaders as representatives of organizations. We suggest that these patterns of ties can contribute to leader effectiveness. (c) 2005 Elsevier Inc. All rights reserved.",1048-9843,1873-3409,DEC,2005,16,6,941,961,,10.1016/j.leaqua.2005.09.004,WOS:000234136200004
"Labianca, G; Brass, DJ; Gray, B","Labianca, G; Brass, DJ; Gray, B",Social networks and perceptions of intergroup conflict: The role of negative relationships and third parties,"This study investigated the relationship between interpersonal relationships among members of different departments and individuals' perceptions of intergroup conflict within an organization. Although friendships across groups were not significantly related to perceptions of intergroup conflict, negative relationships were associated with higher perceived intergroup conflict. Perceptions of intergroup conflict were also significantly related to indirect relationships through friends, and an amplification effect was uncovered. Finally, low intragroup cohesiveness was significantly related to higher perceptions of intergroup conflict.",0001-4273,,FEB,1998,41,1,55,67,,10.2307/256897,WOS:000072013300004
"Fleming, L; King, C; Juda, A","Fleming, Lee; King, Charles, III; Juda, Adam I.",Small worlds and regional innovation,"Small-world networks have attracted much theoretical attention and are widely thought to enhance creativity. Yet empirical studies of their evolution and evidence of their benefits remain scarce. We develop and exploit a novel database on patent coauthorship to investigate the effects of collaboration networks on innovation. Our analysis reveals the existence of regional small-world structures and the emergence and disappearance of giant components in patent collaboration networks. Using statistical models, we test and fail to find evidence that small-world structure (cohesive clusters connected by occasional nonlocal ties) enhances innovative productivity within geographic regions. We do find that both shorter path lengths and larger connected components correlate with increased innovation. We discuss the implications of our findings for future social network research and theory as well as regional innovation policies.",1047-7039,,NOV-DEC,2007,18,6,938,954,,10.1287/orsc.1070.0289,WOS:000251748300004
"Wiertz, C; de Ruyter, K","Wiertz, Caroline; de Ruyter, Ko",Beyond the call of duty: Why customers contribute to firm-hosted commercial online communities,"Firm-hosted commercial online communities, in which customers interact to solve each other's service problems, represent a fascinating context to study the motivations of collective action in the form of knowledge contribution to the community. We extend a model of social capital based on Wasko and Faraj (2005) to incorporate and contrast the direct impact of commitment to both the online community and the host firm, as well as reciprocity, on quality and quantity of knowledge contribution. In addition, we examine the moderating influence of three individual attributes that are particularly relevant to the firm-hosted community context: perceived informational value, sportsmanship, and online interaction propensity. We empirically test our framework using self-reported and objective data from 203 members of a firm-hosted technical support community. In addition to several interesting moderating effects, we find that a customer's online interaction propensity, commitment to the community, and the informational value s/he perceives in the community are the strongest drivers of knowledge contribution.",0170-8406,1741-3044,MAR,2007,28,3,347,376,,10.1177/0170840607076003,WOS:000245627700005
"Westphal, JD; Milton, LP","Westphal, JD; Milton, LP",How experience and network ties affect the influence of demographic minorities on corporate boards,"This study examines how the influence of directors who are demographic minorities on corporate boards is contingent on the prior experience of board members and the larger social structural context in which demographic differences are embedded. We assess the effects of minority status according to functional background, industry background, education, race, and gender for a large sample of corporate outside directors at Fortune/Forbes 500 companies. The results show that (1) the prior experience of minority directors in a minority role on other boards can enhance their ability to exert influence on the focal board, while the prior experience of minority directors in a majority role can reduce their influence; (2) the prior experience of majority directors in a minority role on other boards can enhance the influence of minority directors on the focal board, and (3) minority directors are more influential if they have direct or indirect social network ties to majority directors through common memberships on other boards. Results suggest that demographic minorities can avoid out-group biases that would otherwise minimize their influence when they have prior experience on other boards or social network ties to other directors that enable them to create the perception of similarity with the majority.",0001-8392,1930-3815,JUN,2000,45,2,366,398,,10.2307/2667075,WOS:000088913300006
"Tether, BS; Tajar, A","Tether, Bruce S.; Tajar, Abdelouahid","Beyond industry-university links: Sourcing knowledge for innovation from consultants, private research organisations and the public science-base","This paper explores the use of specialist knowledge providers as sources of information in the innovation activities of manufacturing and service firms. Specialist knowledge providers are consultancies, private research organisations and the public science-base (i.e., universities and the government research laboratories). These may be engaged by firms in co-operative arrangement for innovation or as informal sources of information. We find, as anticipated, that amongst other factors specialist knowledge Providers are more likely to be engaged by firms with more open approaches to innovation, those with high levels of absorptive capacity, those with greater social capital and networking capabilities, as well as by those with deeper commitments to innovation. Overall, the use of specialist knowledge providers tends to complement firms' own internal innovation activities and to complement other external sources of knowledge. Moreover, the individual types of specialist knowledge providers tend to complement rather than substitute for one another. Beyond this we find significant differences in the types of specialist knowledge providers used by manufacturing and service firms. Although service firms are more likely than manufacturers to use specialist knowledge providers, they are more likely to engage consultants, whilst their links with research-based organisations, including the public science-base, are weaker. We ask whether there is a case for increasing the extent to which the public science-base undertakes activities that are relevant to innovation in the services. (C) 2008 Elsevier B.V. All rights reserved.",0048-7333,,JUL,2008,37,6-7,1079,1095,,10.1016/j.respol.2008.04.003,WOS:000257560500010
"Whittington, KB; Owen-Smith, J; Powell, WW","Whittington, Kjersten Bunker; Owen-Smith, Jason; Powell, Walter W.","Networks, Propinquity, and Innovation in Knowledge-intensive Industries","Industrial districts and regional clusters depend on the networks that arise from reciprocal linkages among co-located organizations, while physical proximity among firms can alter the nature of information and resource flows through networks. We consider the joint effects of geographic propinquity and network position on organizational innovation using negative binomial count models of patenting activity for U. S.-based life science firms in industrial districts and regional clusters across a 12-year time period, 1988-1999. We find evidence that regional agglomeration and network centrality exert complementary, but contingent, influences on organizational innovation. Results show that in the high-velocity, research-intensive field of biotechnology, geographic and network positions have both independent and contingent effects on organizational innovation. The influence of centrality in local, physically co-located partner networks depends on the extent to which firms are also embedded in a global network comprising physically distant partners. Such global centrality, however, alters how proximity to two important classes of organization other biotechnology firms and public sector research organizations, such as universities, research institutes, and teaching hospitals-influences innovation. Regional agglomeration shapes the character of information and resource flows through networks, while much of what makes industrial clusters region-like involves the structure of their internal networks. We conclude that network effects persist both independently and interdependently with geographic variables, and regional characteristics influence the degree to which centrality enhances innovation.(.)",0001-8392,1930-3815,MAR,2009,54,1,90,122,,10.2189/asqu.2009.54.1.90,WOS:000267226300004
